Detector;Time;qPKW;qLKW;vPKW;vLKW
320209307_0;39346;1;0;0;0
320209307_0;39350;1;0;0;0
320209307_0;39352;1;0;0;0
320209307_0;39354;1;0;0;0
320209307_0;39356;1;0;0;0
320209307_0;39360;1;0;0;0
320209307_0;39362;2;0;0;0
320209307_0;39364;1;0;0;0
320209307_0;39365;1;0;0;0
320209307_0;39366;3;0;0;0
320209307_0;39367;3;0;0;0
320209307_0;39368;1;0;0;0
320209307_0;39369;2;0;0;0
320209307_0;39370;2;0;0;0
320209307_0;39371;3;0;0;0
320209307_0;39372;1;0;0;0
320209307_0;39373;1;0;0;0
320209307_0;39375;2;0;0;0
320209307_0;39376;1;0;0;0
320209307_0;39377;3;0;0;0
320209307_0;39378;1;0;0;0
320209307_0;39379;3;0;0;0
320209307_0;39380;1;0;0;0
320209307_0;39381;1;0;0;0
320209307_0;39382;1;0;0;0
320209307_0;39383;1;0;0;0
320209307_0;39384;1;0;0;0
320209307_0;39385;4;0;0;0
320209307_0;39387;1;0;0;0
320209307_0;39388;1;0;0;0
320209307_0;39389;2;0;0;0
320209307_0;39391;1;0;0;0
320209307_0;39392;1;0;0;0
320209307_0;39394;1;0;0;0
320209307_0;39395;2;0;0;0
320209307_0;39397;1;0;0;0
320209307_0;39400;3;0;0;0
320209307_0;39401;1;0;0;0
320209307_0;39402;2;0;0;0
320209307_0;39404;4;0;0;0
320209307_0;39407;1;0;0;0
320209307_0;39408;1;0;0;0
320209307_0;39409;1;0;0;0
320209307_0;39415;1;0;0;0
320209307_0;39416;2;0;0;0
320209307_0;39419;3;0;0;0
320209307_0;39420;2;0;0;0
320209307_0;39422;2;0;0;0
320209307_0;39423;1;0;0;0
320209307_0;39428;3;0;0;0
320209307_0;39432;1;0;0;0
320209307_0;39433;1;0;0;0
320209307_0;39434;2;0;0;0
320209307_0;39435;1;0;0;0
320209307_0;39438;2;0;0;0
320209307_0;39439;2;0;0;0
320209307_0;39442;1;0;0;0
320209307_0;39443;1;0;0;0
320209307_0;39444;1;0;0;0
320209307_0;39445;1;0;0;0
320209307_0;39450;2;0;0;0
320209307_0;39452;1;0;0;0
320209307_0;39454;1;0;0;0
320209307_0;39455;2;0;0;0
320209307_0;39459;1;0;0;0
320209307_0;39461;2;0;0;0
320209307_0;39463;1;0;0;0
